marca;modelo;estado;cor;quilometragem;end_tag;combustivel;ano;cambio;unico_dono;tipo;versao;direcao;portas;extra;preco;
FIAT;UNO;mg;Prata;240;6;Flex;2006;Manual;;Passeio;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Mecxe2nica;4 portas;vidro elxe9trico;11000;https://mg.olx.com.br/regiao-de-divinopolis/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-559355723?xtmc=fiat+uno&xtnp=1&xtcr=1;
FIAT;UNO;mg;Branco;88000;;Gasolina;2003;Manual;;Hatch;;Mecxe2nica;4 portas;;8700;https://mg.olx.com.br/regiao-de-governador-valadares-e-teofilo-otoni/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-8700-559354444?xtmc=fiat+uno&xtnp=1&xtcr=2;
FIAT;UNO;mg;Preto;1;4;xc1lcool;1986;Manual;Nxe3o;;;Mecxe2nica;2 portas;;6900;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-3-sx-540571605?xtmc=fiat+uno&xtnp=1&xtcr=3;
FIAT;UNO;mg;;1;6;Flex;2013;Manual;;;UNO VIVACE 1.0 EVO FIRE FLEX 8V 3P;;2 portas;;18300;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/uno-vivace-1-0-evo-fire-flex-8v-3p-2013-553113735?xtmc=fiat+uno&xtnp=1&xtcr=4;
FIAT;UNO;mg;Branco;65000;;Flex;2014;Manual;;;UNO SPORTING 1.4 EVO FIRE FLEX 8V 4P;Hidrxe1ulica;4 portas;air bag, alarme, ar condicionado, trava elxe9trica, vidro elxe9trico, som, sensor de rxe9;32000;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-559352438?xtmc=fiat+uno&xtnp=1&xtcr=5;
FIAT;UNO;mg;Vermelho;108236;8;Flex;2012;Manual;Sim;Passeio;UNO VIVACE CELEB. 1.0 EVO F. FLEX 8V 3P;Mecxe2nica;2 portas;som;17500;https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-vivace-1-0-559350262?xtmc=fiat+uno&xtnp=1&xtcr=6;
FIAT;UNO;mg;Prata;53000;9;Flex;2012;Manual;Nxe3o;Passeio;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Mecxe2nica;4 portas;trava elxe9trica, vidro elxe9trico;18000;https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-559347654?xtmc=fiat+uno&xtnp=1&xtcr=8;
FIAT;UNO;mg;Branco;29000;;Flex;2016;Semi-Automxe1tico;;;UNO SPORT. DUAL. 1.4 B.EDIT. FLEX 8V 5P;Hidrxe1ulica;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica, air bag, alarme, som, sensor de rxe9;43000;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-sporting-1-4-evo-dualogic-completo-com-paddle-shift-e-29-mil-km-559346486?xtmc=fiat+uno&xtnp=1&xtcr=9;
FIAT;UNO;mg;Cinza;100;1;Flex;2010;Manual;Nxe3o;Hatch;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;;4 portas;ar condicionado, vidro elxe9trico, trava elxe9trica;18900;https://mg.olx.com.br/regiao-de-uberlandia-e-uberaba/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-mille-economy-1-0-553743260?xtmc=fiat+uno&xtnp=1&xtcr=10;
FIAT;UNO;mg;Branco;75000;0;Flex;2013;Manual;Nxe3o;Passeio;UNO VIVACE 1.0 EVO FIRE FLEX 8V 3P;Hidrxe1ulica;4 portas;air bag, alarme, ar condicionado, trava elxe9trica, vidro elxe9trico, som, sensor de rxe9;29900;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/uno-sporting-1-4-559343025?xtmc=fiat+uno&xtnp=1&xtcr=11;
