marca;modelo;estado;cor;quilometragem;end_tag;combustivel;ano;cambio;unico_dono;tipo;versao;direcao;portas;extra;preco;
FIAT;UNO;sp;Cinza;58000;5;Flex;2012;Manual;Nxe3o;Hatch;UNO VIVACE 1.0 EVO FIRE FLEX 8V 3P;Mecxe2nica;2 portas;;19957;https://sp.olx.com.br/regiao-de-bauru-e-marilia/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-vivace-1-0-flex-segundo-dono-559385407?xtmc=fiat+uno&xtnp=1&xtcr=2
FIAT;UNO;sp;;100000;6;Flex;2008;Manual;Nxe3o;Hatch;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 4P;Mecxe2nica;4 portas;alarme, trava elxe9trica;14000;https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-559367322?xtmc=fiat+uno&xtnp=1&xtcr=4
FIAT;UNO;sp;Prata;96000;9;Flex;2010;Manual;Nxe3o;Passeio;UNO MILLE WAY ECONOMY 1.0 F.FLEX 2P;Mecxe2nica;2 portas;trava elxe9trica, alarme, som;11800;https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-mille-economy-baixa-km-otimo-estado-515996426?xtmc=fiat+uno&xtnp=1&xtcr=5
FIAT;UNO;sp;;111111;;Gasolina;1992;Manual;;;;;2 portas;;5000;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1992-559357013?xtmc=fiat+uno&xtnp=1&xtcr=8
;;sp;Cinza;36000;5;Flex;2016;Manual;Nxe3o;;;Hidrxe1ulica;4 portas;alarme, ar condicionado, trava elxe9trica, vidro elxe9trico, som;28000;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-way-vendo-559355678?xtmc=fiat+uno&xtnp=1&xtcr=9
FIAT;UNO;sp;;27906;4;Flex;2018;Manual;;;;;4 portas;;36490;https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-flex-drive-4p-manual-539940734?xtmc=fiat+uno&xtnp=1&xtcr=10
FIAT;UNO;sp;Preto;106000;3;Flex;2011;Manual;Nxe3o;;UNO MILLE 1.0 FIRE/ F.FLEX/ ECONOMY 2P;Mecxe2nica;2 portas;ar condicionado;15500;https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-559352735?xtmc=fiat+uno&xtnp=1&xtcr=12
FIAT;UNO;sp;Prata;63000;4;Flex;2012;Manual;Nxe3o;Hatch;UNO VIVACE CELEB. 1.0 EVO F. FLEX 8V 3P;Hidrxe1ulica;2 portas;trava elxe9trica, vidro elxe9trico;19490;https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-vivace-555606082?xtmc=fiat+uno&xtnp=1&xtcr=13
FIAT;;sp;;27422;2;Flex;2018;Manual;;;;;4 portas;ar condicionado, direxe7xe3o hidrxe1ulica, vidro elxe9trico, trava elxe9trica;32900;https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-1-0-firefly-flex-drive-4p-2017-556018861?xtmc=fiat+uno&xtnp=1&xtcr=14
FIAT;UNO;sp;Azul;135000;5;Flex;2011;Manual;Nxe3o;Hatch;UNO ATTRACTI. CELEB.1.4 EVO F.FLEX 8V 4P;Mecxe2nica;4 portas;vidro elxe9trico, trava elxe9trica;19900;https://sp.olx.com.br/vale-do-paraiba-e-litoral-norte/autos-e-pecas/carros-vans-e-utilitarios/fiat-uno-atrative-1-4-2011-abx-tab-559348937?xtmc=fiat+uno&xtnp=1&xtcr=15
